FIPS	State	County	Variable	pcnt_free_lunch
5139	Arkansas	Union	pcnt_free_lunch	51
5141	Arkansas	Van Buren	pcnt_free_lunch	54
5143	Arkansas	Washington	pcnt_free_lunch	46
5145	Arkansas	White	pcnt_free_lunch	42
5147	Arkansas	Woodruff	pcnt_free_lunch	74
5149	Arkansas	Yell	pcnt_free_lunch	63
6001	California	Alameda	pcnt_free_lunch	35
6003	California	Alpine	pcnt_free_lunch	45
6005	California	Amador	pcnt_free_lunch	32
6007	California	Butte	pcnt_free_lunch	47
6009	California	Calaveras	pcnt_free_lunch	36
6011	California	Colusa	pcnt_free_lunch	59
6013	California	Contra Costa	pcnt_free_lunch	30
6015	California	Del Norte	pcnt_free_lunch	54
6017	California	El Dorado	pcnt_free_lunch	22
6019	California	Fresno	pcnt_free_lunch	60
6021	California	Glenn	pcnt_free_lunch	55
6023	California	Humboldt	pcnt_free_lunch	40
6025	California	Imperial	pcnt_free_lunch	63
6027	California	Inyo	pcnt_free_lunch	40
6029	California	Kern	pcnt_free_lunch	59
6031	California	Kings	pcnt_free_lunch	57
6033	California	Lake	pcnt_free_lunch	58
6035	California	Lassen	pcnt_free_lunch	29
6037	California	Los Angeles	pcnt_free_lunch	51
6039	California	Madera	pcnt_free_lunch	63
6041	California	Marin	pcnt_free_lunch	20
6043	California	Mariposa	pcnt_free_lunch	40
6045	California	Mendocino	pcnt_free_lunch	56
6047	California	Merced	pcnt_free_lunch	65
6049	California	Modoc	pcnt_free_lunch	51
6051	California	Mono	pcnt_free_lunch	41
6053	California	Monterey	pcnt_free_lunch	58
6055	California	Napa	pcnt_free_lunch	35
6057	California	Nevada	pcnt_free_lunch	25
6059	California	Orange	pcnt_free_lunch	38
6061	California	Placer	pcnt_free_lunch	20
6063	California	Plumas	pcnt_free_lunch	29
6065	California	Riverside	pcnt_free_lunch	46
6067	California	Sacramento	pcnt_free_lunch	44
6069	California	San Benito	pcnt_free_lunch	46
6071	California	San Bernardino	pcnt_free_lunch	56
6073	California	San Diego	pcnt_free_lunch	40
6075	California	San Francisco	pcnt_free_lunch	49
