FIPS	State	County	Variable	age_adjusted_premature_mortality
6041	California	Marin	age_adjusted_premature_mortality	189.2
6043	California	Mariposa	age_adjusted_premature_mortality	349.6
6045	California	Mendocino	age_adjusted_premature_mortality	380.1
6047	California	Merced	age_adjusted_premature_mortality	342.7
6049	California	Modoc	age_adjusted_premature_mortality	402.7
6051	California	Mono	age_adjusted_premature_mortality	166.8
6053	California	Monterey	age_adjusted_premature_mortality	253
6055	California	Napa	age_adjusted_premature_mortality	266.6
6057	California	Nevada	age_adjusted_premature_mortality	260
6059	California	Orange	age_adjusted_premature_mortality	230
6061	California	Placer	age_adjusted_premature_mortality	252.7
6063	California	Plumas	age_adjusted_premature_mortality	335.4
6065	California	Riverside	age_adjusted_premature_mortality	309.9
6067	California	Sacramento	age_adjusted_premature_mortality	337.3
6069	California	San Benito	age_adjusted_premature_mortality	267.7
6071	California	San Bernardino	age_adjusted_premature_mortality	356.9
6073	California	San Diego	age_adjusted_premature_mortality	270.9
6075	California	San Francisco	age_adjusted_premature_mortality	270.6
6077	California	San Joaquin	age_adjusted_premature_mortality	362.7
6079	California	San Luis Obispo	age_adjusted_premature_mortality	265.7
6081	California	San Mateo	age_adjusted_premature_mortality	218.3
6083	California	Santa Barbara	age_adjusted_premature_mortality	263.5
6085	California	Santa Clara	age_adjusted_premature_mortality	215.6
6087	California	Santa Cruz	age_adjusted_premature_mortality	257.6
6089	California	Shasta	age_adjusted_premature_mortality	419.6
6091	California	Sierra	age_adjusted_premature_mortality	374
6093	California	Siskiyou	age_adjusted_premature_mortality	389.3
6095	California	Solano	age_adjusted_premature_mortality	326.1
6097	California	Sonoma	age_adjusted_premature_mortality	273
6099	California	Stanislaus	age_adjusted_premature_mortality	359.3
6101	California	Sutter	age_adjusted_premature_mortality	348.5
6103	California	Tehama	age_adjusted_premature_mortality	378.2
6105	California	Trinity	age_adjusted_premature_mortality	410
6107	California	Tulare	age_adjusted_premature_mortality	372.1
6109	California	Tuolumne	age_adjusted_premature_mortality	321.8
6111	California	Ventura	age_adjusted_premature_mortality	253.4
6113	California	Yolo	age_adjusted_premature_mortality	275
6115	California	Yuba	age_adjusted_premature_mortality	433.5
8001	Colorado	Adams	age_adjusted_premature_mortality	339.1
8003	Colorado	Alamosa	age_adjusted_premature_mortality	365.9
8005	Colorado	Arapahoe	age_adjusted_premature_mortality	273.6
8007	Colorado	Archuleta	age_adjusted_premature_mortality	257.8
8009	Colorado	Baca	age_adjusted_premature_mortality	516
8011	Colorado	Bent	age_adjusted_premature_mortality	478.7
8013	Colorado	Boulder	age_adjusted_premature_mortality	221.1
8014	Colorado	Broomfield	age_adjusted_premature_mortality	252.4
8015	Colorado	Chaffee	age_adjusted_premature_mortality	289.2
8017	Colorado	Cheyenne	age_adjusted_premature_mortality	376.8
8019	Colorado	Clear Creek	age_adjusted_premature_mortality	331.7
8021	Colorado	Conejos	age_adjusted_premature_mortality	382.6
