FIPS	State	County	Variable	mph_rate
8047	Colorado	Gilpin	mph_rate	0
8049	Colorado	Grand	mph_rate	0
8051	Colorado	Gunnison	mph_rate	
8053	Colorado	Hinsdale	mph_rate	0
8055	Colorado	Huerfano	mph_rate	0
8057	Colorado	Jackson	mph_rate	
8059	Colorado	Jefferson	mph_rate	0
8061	Colorado	Kiowa	mph_rate	
8063	Colorado	Kit Carson	mph_rate	
8065	Colorado	Lake	mph_rate	0
8067	Colorado	La Plata	mph_rate	0
8069	Colorado	Larimer	mph_rate	0
8071	Colorado	Las Animas	mph_rate	
8073	Colorado	Lincoln	mph_rate	
8075	Colorado	Logan	mph_rate	0
8077	Colorado	Mesa	mph_rate	0
8079	Colorado	Mineral	mph_rate	0
8081	Colorado	Moffat	mph_rate	
8083	Colorado	Montezuma	mph_rate	0
8085	Colorado	Montrose	mph_rate	0
8087	Colorado	Morgan	mph_rate	0
8089	Colorado	Otero	mph_rate	0
8091	Colorado	Ouray	mph_rate	0
8093	Colorado	Park	mph_rate	0
8095	Colorado	Phillips	mph_rate	
8097	Colorado	Pitkin	mph_rate	0
8099	Colorado	Prowers	mph_rate	
8101	Colorado	Pueblo	mph_rate	0
8103	Colorado	Rio Blanco	mph_rate	
8105	Colorado	Rio Grande	mph_rate	0
8107	Colorado	Routt	mph_rate	0
8109	Colorado	Saguache	mph_rate	0
8111	Colorado	San Juan	mph_rate	0
8113	Colorado	San Miguel	mph_rate	0
8115	Colorado	Sedgwick	mph_rate	
8117	Colorado	Summit	mph_rate	0
8119	Colorado	Teller	mph_rate	0
8121	Colorado	Washington	mph_rate	
8123	Colorado	Weld	mph_rate	0
8125	Colorado	Yuma	mph_rate	0
9001	Connecticut	Fairfield	mph_rate	0
9003	Connecticut	Hartford	mph_rate	0
9005	Connecticut	Litchfield	mph_rate	0
9007	Connecticut	Middlesex	mph_rate	0
9009	Connecticut	New Haven	mph_rate	0
9011	Connecticut	New London	mph_rate	0
9013	Connecticut	Tolland	mph_rate	0
9015	Connecticut	Windham	mph_rate	0
10001	Delaware	Kent	mph_rate	0
10003	Delaware	New Castle	mph_rate	0
10005	Delaware	Sussex	mph_rate	0
11001	District of Columbia	District of Columbia	mph_rate	0
12001	Florida	Alachua	mph_rate	0
12003	Florida	Baker	mph_rate	0
12005	Florida	Bay	mph_rate	0
12007	Florida	Bradford	mph_rate	0
12009	Florida	Brevard	mph_rate	0
12011	Florida	Broward	mph_rate	0
12013	Florida	Calhoun	mph_rate	0
12015	Florida	Charlotte	mph_rate	0
12017	Florida	Citrus	mph_rate	0
12019	Florida	Clay	mph_rate	0
12021	Florida	Collier	mph_rate	0
12023	Florida	Columbia	mph_rate	0
12027	Florida	DeSoto	mph_rate	0
12029	Florida	Dixie	mph_rate	0
12031	Florida	Duval	mph_rate	0
12033	Florida	Escambia	mph_rate	0
12035	Florida	Flagler	mph_rate	0
12037	Florida	Franklin	mph_rate	
12039	Florida	Gadsden	mph_rate	0
12041	Florida	Gilchrist	mph_rate	0
12043	Florida	Glades	mph_rate	0
12045	Florida	Gulf	mph_rate	
12047	Florida	Hamilton	mph_rate	0
12049	Florida	Hardee	mph_rate	0
12051	Florida	Hendry	mph_rate	0
12053	Florida	Hernando	mph_rate	0
12055	Florida	Highlands	mph_rate	0
12057	Florida	Hillsborough	mph_rate	0
12059	Florida	Holmes	mph_rate	0
12061	Florida	Indian River	mph_rate	0
12063	Florida	Jackson	mph_rate	0
12065	Florida	Jefferson	mph_rate	0
12067	Florida	Lafayette	mph_rate	
12069	Florida	Lake	mph_rate	0
12071	Florida	Lee	mph_rate	0
12073	Florida	Leon	mph_rate	0
12075	Florida	Levy	mph_rate	0
12077	Florida	Liberty	mph_rate	0
12079	Florida	Madison	mph_rate	0
12081	Florida	Manatee	mph_rate	0
12083	Florida	Marion	mph_rate	0
12085	Florida	Martin	mph_rate	0
12086	Florida	Miami-Dade	mph_rate	0
12087	Florida	Monroe	mph_rate	0
12089	Florida	Nassau	mph_rate	0
12091	Florida	Okaloosa	mph_rate	0
12093	Florida	Okeechobee	mph_rate	0
12095	Florida	Orange	mph_rate	0
12097	Florida	Osceola	mph_rate	0
12099	Florida	Palm Beach	mph_rate	0
12101	Florida	Pasco	mph_rate	0
12103	Florida	Pinellas	mph_rate	0
12105	Florida	Polk	mph_rate	0
12107	Florida	Putnam	mph_rate	0
12109	Florida	St. Johns	mph_rate	0
12111	Florida	St. Lucie	mph_rate	0
12113	Florida	Santa Rosa	mph_rate	0
12115	Florida	Sarasota	mph_rate	0
12117	Florida	Seminole	mph_rate	0
12119	Florida	Sumter	mph_rate	0
12121	Florida	Suwannee	mph_rate	
12123	Florida	Taylor	mph_rate	0
12125	Florida	Union	mph_rate	0
12127	Florida	Volusia	mph_rate	0
12129	Florida	Wakulla	mph_rate	0
12131	Florida	Walton	mph_rate	0
12133	Florida	Washington	mph_rate	0
13001	Georgia	Appling	mph_rate	0
13003	Georgia	Atkinson	mph_rate	
13005	Georgia	Bacon	mph_rate	
13007	Georgia	Baker	mph_rate	
13009	Georgia	Baldwin	mph_rate	0
13011	Georgia	Banks	mph_rate	0
13013	Georgia	Barrow	mph_rate	0
13015	Georgia	Bartow	mph_rate	0
13017	Georgia	Ben Hill	mph_rate	
13019	Georgia	Berrien	mph_rate	
13021	Georgia	Bibb	mph_rate	0
13023	Georgia	Bleckley	mph_rate	
13025	Georgia	Brantley	mph_rate	
13027	Georgia	Brooks	mph_rate	0
13029	Georgia	Bryan	mph_rate	0
13031	Georgia	Bulloch	mph_rate	0
13033	Georgia	Burke	mph_rate	0
13035	Georgia	Butts	mph_rate	
13037	Georgia	Calhoun	mph_rate	
13039	Georgia	Camden	mph_rate	0
13043	Georgia	Candler	mph_rate	0
13045	Georgia	Carroll	mph_rate	0
13047	Georgia	Catoosa	mph_rate	0
13049	Georgia	Charlton	mph_rate	
13051	Georgia	Chatham	mph_rate	0
13053	Georgia	Chattahoochee	mph_rate	0
13055	Georgia	Chattooga	mph_rate	0
13057	Georgia	Cherokee	mph_rate	0
13059	Georgia	Clarke	mph_rate	0
13061	Georgia	Clay	mph_rate	
13063	Georgia	Clayton	mph_rate	0
13065	Georgia	Clinch	mph_rate	
13067	Georgia	Cobb	mph_rate	0
13069	Georgia	Coffee	mph_rate	0
13071	Georgia	Colquitt	mph_rate	0
13073	Georgia	Columbia	mph_rate	0
13075	Georgia	Cook	mph_rate	
13077	Georgia	Coweta	mph_rate	0
13079	Georgia	Crawford	mph_rate	
13081	Georgia	Crisp	mph_rate	0
13083	Georgia	Dade	mph_rate	
13085	Georgia	Dawson	mph_rate	0
13087	Georgia	Decatur	mph_rate	0
13089	Georgia	DeKalb	mph_rate	0
13091	Georgia	Dodge	mph_rate	0
13093	Georgia	Dooly	mph_rate	
13095	Georgia	Dougherty	mph_rate	0
13097	Georgia	Douglas	mph_rate	0
13099	Georgia	Early	mph_rate	
13101	Georgia	Echols	mph_rate	
13103	Georgia	Effingham	mph_rate	
13105	Georgia	Elbert	mph_rate	
13107	Georgia	Emanuel	mph_rate	
13109	Georgia	Evans	mph_rate	0
13111	Georgia	Fannin	mph_rate	0
13113	Georgia	Fayette	mph_rate	0
13115	Georgia	Floyd	mph_rate	0
13117	Georgia	Forsyth	mph_rate	0
13119	Georgia	Franklin	mph_rate	0
13121	Georgia	Fulton	mph_rate	0
13123	Georgia	Gilmer	mph_rate	0
13125	Georgia	Glascock	mph_rate	
13127	Georgia	Glynn	mph_rate	0
13129	Georgia	Gordon	mph_rate	0
13131	Georgia	Grady	mph_rate	
13133	Georgia	Greene	mph_rate	0
13135	Georgia	Gwinnett	mph_rate	0
13137	Georgia	Habersham	mph_rate	0
13139	Georgia	Hall	mph_rate	0
13141	Georgia	Hancock	mph_rate	
13143	Georgia	Haralson	mph_rate	
13145	Georgia	Harris	mph_rate	0
13147	Georgia	Hart	mph_rate	0
13149	Georgia	Heard	mph_rate	
13151	Georgia	Henry	mph_rate	0
13153	Georgia	Houston	mph_rate	0
13155	Georgia	Irwin	mph_rate	
13157	Georgia	Jackson	mph_rate	0
13159	Georgia	Jasper	mph_rate	0
13161	Georgia	Jeff Davis	mph_rate	
13163	Georgia	Jefferson	mph_rate	
13165	Georgia	Jenkins	mph_rate	
13167	Georgia	Johnson	mph_rate	
13169	Georgia	Jones	mph_rate	0
13171	Georgia	Lamar	mph_rate	0
13173	Georgia	Lanier	mph_rate	
13175	Georgia	Laurens	mph_rate	0
13177	Georgia	Lee	mph_rate	0
13179	Georgia	Liberty	mph_rate	0
13181	Georgia	Lincoln	mph_rate	
13183	Georgia	Long	mph_rate	
13185	Georgia	Lowndes	mph_rate	0
13187	Georgia	Lumpkin	mph_rate	0
13189	Georgia	McDuffie	mph_rate	
13191	Georgia	McIntosh	mph_rate	0
13193	Georgia	Macon	mph_rate	
13195	Georgia	Madison	mph_rate	0
13197	Georgia	Marion	mph_rate	
13199	Georgia	Meriwether	mph_rate	0
13201	Georgia	Miller	mph_rate	
13205	Georgia	Mitchell	mph_rate	
13207	Georgia	Monroe	mph_rate	0
13209	Georgia	Montgomery	mph_rate	
13211	Georgia	Morgan	mph_rate	0
13213	Georgia	Murray	mph_rate	
13215	Georgia	Muscogee	mph_rate	0
13217	Georgia	Newton	mph_rate	0
13219	Georgia	Oconee	mph_rate	0
13221	Georgia	Oglethorpe	mph_rate	
13223	Georgia	Paulding	mph_rate	0
13225	Georgia	Peach	mph_rate	
13227	Georgia	Pickens	mph_rate	0
13229	Georgia	Pierce	mph_rate	0
13231	Georgia	Pike	mph_rate	
13233	Georgia	Polk	mph_rate	0
13235	Georgia	Pulaski	mph_rate	
13237	Georgia	Putnam	mph_rate	0
13239	Georgia	Quitman	mph_rate	
13241	Georgia	Rabun	mph_rate	0
13243	Georgia	Randolph	mph_rate	
13245	Georgia	Richmond	mph_rate	0
13247	Georgia	Rockdale	mph_rate	0
13249	Georgia	Schley	mph_rate	
13251	Georgia	Screven	mph_rate	0
13253	Georgia	Seminole	mph_rate	
13255	Georgia	Spalding	mph_rate	0
13257	Georgia	Stephens	mph_rate	0
13259	Georgia	Stewart	mph_rate	
13261	Georgia	Sumter	mph_rate	0
13263	Georgia	Talbot	mph_rate	
13265	Georgia	Taliaferro	mph_rate	
13267	Georgia	Tattnall	mph_rate	
13269	Georgia	Taylor	mph_rate	
13271	Georgia	Telfair	mph_rate	
13273	Georgia	Terrell	mph_rate	
13275	Georgia	Thomas	mph_rate	0
13277	Georgia	Tift	mph_rate	0
13279	Georgia	Toombs	mph_rate	0
13281	Georgia	Towns	mph_rate	0
13283	Georgia	Treutlen	mph_rate	
13285	Georgia	Troup	mph_rate	0
13287	Georgia	Turner	mph_rate	
13289	Georgia	Twiggs	mph_rate	
13291	Georgia	Union	mph_rate	0
13293	Georgia	Upson	mph_rate	0
13295	Georgia	Walker	mph_rate	0
13297	Georgia	Walton	mph_rate	0
13299	Georgia	Ware	mph_rate	0
13301	Georgia	Warren	mph_rate	
13303	Georgia	Washington	mph_rate	
13305	Georgia	Wayne	mph_rate	0
13307	Georgia	Webster	mph_rate	
13309	Georgia	Wheeler	mph_rate	
13311	Georgia	White	mph_rate	0
13313	Georgia	Whitfield	mph_rate	0
13315	Georgia	Wilcox	mph_rate	
13317	Georgia	Wilkes	mph_rate	
13319	Georgia	Wilkinson	mph_rate	
13321	Georgia	Worth	mph_rate	
15001	Hawaii	Hawaii	mph_rate	0
15003	Hawaii	Honolulu	mph_rate	0
15005	Hawaii	Kalawao	mph_rate	0
15007	Hawaii	Kauai	mph_rate	0
15009	Hawaii	Maui	mph_rate	0
16001	Idaho	Ada	mph_rate	0
16003	Idaho	Adams	mph_rate	
16005	Idaho	Bannock	mph_rate	0
16007	Idaho	Bear Lake	mph_rate	
16009	Idaho	Benewah	mph_rate	
16011	Idaho	Bingham	mph_rate	0
16013	Idaho	Blaine	mph_rate	0
16015	Idaho	Boise	mph_rate	
16017	Idaho	Bonner	mph_rate	0
16019	Idaho	Bonneville	mph_rate	0
16021	Idaho	Boundary	mph_rate	
16023	Idaho	Butte	mph_rate	
16025	Idaho	Camas	mph_rate	
16027	Idaho	Canyon	mph_rate	0
16029	Idaho	Caribou	mph_rate	
16031	Idaho	Cassia	mph_rate	0
16033	Idaho	Clark	mph_rate	0
16035	Idaho	Clearwater	mph_rate	0
16037	Idaho	Custer	mph_rate	
16039	Idaho	Elmore	mph_rate	0
16041	Idaho	Franklin	mph_rate	
16043	Idaho	Fremont	mph_rate	
16045	Idaho	Gem	mph_rate	0
16047	Idaho	Gooding	mph_rate	0
16049	Idaho	Idaho	mph_rate	
16051	Idaho	Jefferson	mph_rate	0
16053	Idaho	Jerome	mph_rate	
16055	Idaho	Kootenai	mph_rate	0
16057	Idaho	Latah	mph_rate	0
16059	Idaho	Lemhi	mph_rate	0
16061	Idaho	Lewis	mph_rate	
16063	Idaho	Lincoln	mph_rate	
16065	Idaho	Madison	mph_rate	0
16067	Idaho	Minidoka	mph_rate	0
16069	Idaho	Nez Perce	mph_rate	0
16071	Idaho	Oneida	mph_rate	
16073	Idaho	Owyhee	mph_rate	
16075	Idaho	Payette	mph_rate	0
16077	Idaho	Power	mph_rate	
16079	Idaho	Shoshone	mph_rate	
16081	Idaho	Teton	mph_rate	0
16083	Idaho	Twin Falls	mph_rate	0
16085	Idaho	Valley	mph_rate	0
16087	Idaho	Washington	mph_rate	
17001	Illinois	Adams	mph_rate	0
17003	Illinois	Alexander	mph_rate	
17005	Illinois	Bond	mph_rate	0
17007	Illinois	Boone	mph_rate	0
17009	Illinois	Brown	mph_rate	0
17011	Illinois	Bureau	mph_rate	0
17013	Illinois	Calhoun	mph_rate	0
17015	Illinois	Carroll	mph_rate	
17017	Illinois	Cass	mph_rate	
17019	Illinois	Champaign	mph_rate	0
17021	Illinois	Christian	mph_rate	
17023	Illinois	Clark	mph_rate	
17025	Illinois	Clay	mph_rate	
17027	Illinois	Clinton	mph_rate	
17029	Illinois	Coles	mph_rate	0
