FIPS	State	County	Variable	infant_mortality_rate
6009	California	Calaveras	infant_mortality_rate	
6011	California	Colusa	infant_mortality_rate	
6013	California	Contra Costa	infant_mortality_rate	432
6015	California	Del Norte	infant_mortality_rate	843.6
6017	California	El Dorado	infant_mortality_rate	447.3
6019	California	Fresno	infant_mortality_rate	656.4
6021	California	Glenn	infant_mortality_rate	450.2
6023	California	Humboldt	infant_mortality_rate	572.1
6025	California	Imperial	infant_mortality_rate	549
6027	California	Inyo	infant_mortality_rate	
6029	California	Kern	infant_mortality_rate	646.6
6031	California	Kings	infant_mortality_rate	572.1
6033	California	Lake	infant_mortality_rate	455.8
6035	California	Lassen	infant_mortality_rate	895.5
6037	California	Los Angeles	infant_mortality_rate	535.2
6039	California	Madera	infant_mortality_rate	534
6041	California	Marin	infant_mortality_rate	319.2
6043	California	Mariposa	infant_mortality_rate	
6045	California	Mendocino	infant_mortality_rate	814.1
6047	California	Merced	infant_mortality_rate	585.8
6049	California	Modoc	infant_mortality_rate	
6051	California	Mono	infant_mortality_rate	1181.5
6053	California	Monterey	infant_mortality_rate	494.8
6055	California	Napa	infant_mortality_rate	558.3
6057	California	Nevada	infant_mortality_rate	471.5
6059	California	Orange	infant_mortality_rate	474.7
6061	California	Placer	infant_mortality_rate	399.2
6063	California	Plumas	infant_mortality_rate	
6065	California	Riverside	infant_mortality_rate	541.1
6067	California	Sacramento	infant_mortality_rate	572.5
6069	California	San Benito	infant_mortality_rate	552.2
6071	California	San Bernardino	infant_mortality_rate	660.1
6073	California	San Diego	infant_mortality_rate	520.8
6075	California	San Francisco	infant_mortality_rate	446.6
6077	California	San Joaquin	infant_mortality_rate	583.8
6079	California	San Luis Obispo	infant_mortality_rate	383
6081	California	San Mateo	infant_mortality_rate	385.3
6083	California	Santa Barbara	infant_mortality_rate	534.3
6085	California	Santa Clara	infant_mortality_rate	376.3
6087	California	Santa Cruz	infant_mortality_rate	404.5
6089	California	Shasta	infant_mortality_rate	564.6
6091	California	Sierra	infant_mortality_rate	
6093	California	Siskiyou	infant_mortality_rate	483.9
6095	California	Solano	infant_mortality_rate	637.5
6097	California	Sonoma	infant_mortality_rate	435.8
6099	California	Stanislaus	infant_mortality_rate	637.4
6101	California	Sutter	infant_mortality_rate	533.7
6103	California	Tehama	infant_mortality_rate	514.1
6105	California	Trinity	infant_mortality_rate	
6107	California	Tulare	infant_mortality_rate	570.3
6109	California	Tuolumne	infant_mortality_rate	
6111	California	Ventura	infant_mortality_rate	564.7
6113	California	Yolo	infant_mortality_rate	393.2
6115	California	Yuba	infant_mortality_rate	534.4
8001	Colorado	Adams	infant_mortality_rate	608.4
8003	Colorado	Alamosa	infant_mortality_rate	
8005	Colorado	Arapahoe	infant_mortality_rate	680.6
8007	Colorado	Archuleta	infant_mortality_rate	
8009	Colorado	Baca	infant_mortality_rate	
8011	Colorado	Bent	infant_mortality_rate	
8013	Colorado	Boulder	infant_mortality_rate	571
8014	Colorado	Broomfield	infant_mortality_rate	611.1
8015	Colorado	Chaffee	infant_mortality_rate	
8017	Colorado	Cheyenne	infant_mortality_rate	
8019	Colorado	Clear Creek	infant_mortality_rate	
