FIPS	State	County	Variable	homicide_rate
6045	California	Mendocino	homicide_rate	6
6047	California	Merced	homicide_rate	9
6049	California	Modoc	homicide_rate	
6051	California	Mono	homicide_rate	
6053	California	Monterey	homicide_rate	8
6055	California	Napa	homicide_rate	2
6057	California	Nevada	homicide_rate	2
6059	California	Orange	homicide_rate	3
6061	California	Placer	homicide_rate	2
6063	California	Plumas	homicide_rate	
6065	California	Riverside	homicide_rate	5
6067	California	Sacramento	homicide_rate	7
6069	California	San Benito	homicide_rate	3
6071	California	San Bernardino	homicide_rate	8
6073	California	San Diego	homicide_rate	4
6075	California	San Francisco	homicide_rate	8
6077	California	San Joaquin	homicide_rate	8
6079	California	San Luis Obispo	homicide_rate	2
6081	California	San Mateo	homicide_rate	4
6083	California	Santa Barbara	homicide_rate	2
6085	California	Santa Clara	homicide_rate	3
6087	California	Santa Cruz	homicide_rate	3
6089	California	Shasta	homicide_rate	4
6091	California	Sierra	homicide_rate	
6093	California	Siskiyou	homicide_rate	5
6095	California	Solano	homicide_rate	8
6097	California	Sonoma	homicide_rate	2
6099	California	Stanislaus	homicide_rate	6
6101	California	Sutter	homicide_rate	5
6103	California	Tehama	homicide_rate	5
6105	California	Trinity	homicide_rate	
6107	California	Tulare	homicide_rate	9
6109	California	Tuolumne	homicide_rate	
6111	California	Ventura	homicide_rate	4
6113	California	Yolo	homicide_rate	2
6115	California	Yuba	homicide_rate	5
8001	Colorado	Adams	homicide_rate	5
8003	Colorado	Alamosa	homicide_rate	
8005	Colorado	Arapahoe	homicide_rate	4
8007	Colorado	Archuleta	homicide_rate	
8009	Colorado	Baca	homicide_rate	
8011	Colorado	Bent	homicide_rate	
8013	Colorado	Boulder	homicide_rate	1
8014	Colorado	Broomfield	homicide_rate	3
8015	Colorado	Chaffee	homicide_rate	
8017	Colorado	Cheyenne	homicide_rate	
8019	Colorado	Clear Creek	homicide_rate	
8021	Colorado	Conejos	homicide_rate	
8023	Colorado	Costilla	homicide_rate	
8025	Colorado	Crowley	homicide_rate	
8027	Colorado	Custer	homicide_rate	
8029	Colorado	Delta	homicide_rate	
8031	Colorado	Denver	homicide_rate	9
8033	Colorado	Dolores	homicide_rate	
8035	Colorado	Douglas	homicide_rate	1
8037	Colorado	Eagle	homicide_rate	
8039	Colorado	Elbert	homicide_rate	
8041	Colorado	El Paso	homicide_rate	4
8043	Colorado	Fremont	homicide_rate	5
8045	Colorado	Garfield	homicide_rate	
8047	Colorado	Gilpin	homicide_rate	
8049	Colorado	Grand	homicide_rate	
8051	Colorado	Gunnison	homicide_rate	
8053	Colorado	Hinsdale	homicide_rate	
8055	Colorado	Huerfano	homicide_rate	
8057	Colorado	Jackson	homicide_rate	
8059	Colorado	Jefferson	homicide_rate	2
8061	Colorado	Kiowa	homicide_rate	
8063	Colorado	Kit Carson	homicide_rate	
8065	Colorado	Lake	homicide_rate	
8067	Colorado	La Plata	homicide_rate	4
8069	Colorado	Larimer	homicide_rate	2
8071	Colorado	Las Animas	homicide_rate	12
8073	Colorado	Lincoln	homicide_rate	
8075	Colorado	Logan	homicide_rate	
8077	Colorado	Mesa	homicide_rate	3
8079	Colorado	Mineral	homicide_rate	
8081	Colorado	Moffat	homicide_rate	
8083	Colorado	Montezuma	homicide_rate	10
8085	Colorado	Montrose	homicide_rate	4
8087	Colorado	Morgan	homicide_rate	
8089	Colorado	Otero	homicide_rate	
8091	Colorado	Ouray	homicide_rate	
8093	Colorado	Park	homicide_rate	
8095	Colorado	Phillips	homicide_rate	
8097	Colorado	Pitkin	homicide_rate	
8099	Colorado	Prowers	homicide_rate	
8101	Colorado	Pueblo	homicide_rate	6
8103	Colorado	Rio Blanco	homicide_rate	
8105	Colorado	Rio Grande	homicide_rate	
8107	Colorado	Routt	homicide_rate	
8109	Colorado	Saguache	homicide_rate	
8111	Colorado	San Juan	homicide_rate	
8113	Colorado	San Miguel	homicide_rate	
8115	Colorado	Sedgwick	homicide_rate	
8117	Colorado	Summit	homicide_rate	
8119	Colorado	Teller	homicide_rate	
8121	Colorado	Washington	homicide_rate	
8123	Colorado	Weld	homicide_rate	3
8125	Colorado	Yuma	homicide_rate	
9001	Connecticut	Fairfield	homicide_rate	3
9003	Connecticut	Hartford	homicide_rate	4
9005	Connecticut	Litchfield	homicide_rate	1
9007	Connecticut	Middlesex	homicide_rate	1
9009	Connecticut	New Haven	homicide_rate	4
9011	Connecticut	New London	homicide_rate	3
9013	Connecticut	Tolland	homicide_rate	
9015	Connecticut	Windham	homicide_rate	2
10001	Delaware	Kent	homicide_rate	4
10003	Delaware	New Castle	homicide_rate	7
10005	Delaware	Sussex	homicide_rate	3
11001	District of Columbia	District of Columbia	homicide_rate	27
12001	Florida	Alachua	homicide_rate	5
12003	Florida	Baker	homicide_rate	7
12005	Florida	Bay	homicide_rate	6
12007	Florida	Bradford	homicide_rate	
12009	Florida	Brevard	homicide_rate	5
12011	Florida	Broward	homicide_rate	5
12013	Florida	Calhoun	homicide_rate	
12015	Florida	Charlotte	homicide_rate	3
12017	Florida	Citrus	homicide_rate	3
12019	Florida	Clay	homicide_rate	5
12021	Florida	Collier	homicide_rate	4
12023	Florida	Columbia	homicide_rate	6
12027	Florida	DeSoto	homicide_rate	5
12029	Florida	Dixie	homicide_rate	
12031	Florida	Duval	homicide_rate	14
12033	Florida	Escambia	homicide_rate	7
12035	Florida	Flagler	homicide_rate	2
12037	Florida	Franklin	homicide_rate	
12039	Florida	Gadsden	homicide_rate	9
12041	Florida	Gilchrist	homicide_rate	
12043	Florida	Glades	homicide_rate	
12045	Florida	Gulf	homicide_rate	
12047	Florida	Hamilton	homicide_rate	10
12049	Florida	Hardee	homicide_rate	5
12051	Florida	Hendry	homicide_rate	10
12053	Florida	Hernando	homicide_rate	3
12055	Florida	Highlands	homicide_rate	4
12057	Florida	Hillsborough	homicide_rate	6
12059	Florida	Holmes	homicide_rate	
12061	Florida	Indian River	homicide_rate	3
12063	Florida	Jackson	homicide_rate	11
12065	Florida	Jefferson	homicide_rate	
12067	Florida	Lafayette	homicide_rate	
12069	Florida	Lake	homicide_rate	4
12071	Florida	Lee	homicide_rate	7
12073	Florida	Leon	homicide_rate	4
12075	Florida	Levy	homicide_rate	4
12077	Florida	Liberty	homicide_rate	
12079	Florida	Madison	homicide_rate	8
12081	Florida	Manatee	homicide_rate	6
12083	Florida	Marion	homicide_rate	5
12085	Florida	Martin	homicide_rate	3
12086	Florida	Miami-Dade	homicide_rate	9
