FIPS	State	County	Variable	pcnt_mammography
13241	Georgia	Rabun	pcnt_mammography	50.4
13243	Georgia	Randolph	pcnt_mammography	54.8
13245	Georgia	Richmond	pcnt_mammography	53.9
13247	Georgia	Rockdale	pcnt_mammography	62.8
13249	Georgia	Schley	pcnt_mammography	58.8
13251	Georgia	Screven	pcnt_mammography	65.6
13253	Georgia	Seminole	pcnt_mammography	60.0
13255	Georgia	Spalding	pcnt_mammography	57.9
13257	Georgia	Stephens	pcnt_mammography	59.2
13259	Georgia	Stewart	pcnt_mammography	42.9
13261	Georgia	Sumter	pcnt_mammography	59.6
13263	Georgia	Talbot	pcnt_mammography	62.6
13265	Georgia	Taliaferro	pcnt_mammography	
13267	Georgia	Tattnall	pcnt_mammography	55.0
13269	Georgia	Taylor	pcnt_mammography	60.3
13271	Georgia	Telfair	pcnt_mammography	46.5
13273	Georgia	Terrell	pcnt_mammography	59.2
13275	Georgia	Thomas	pcnt_mammography	68.4
13277	Georgia	Tift	pcnt_mammography	71.7
13279	Georgia	Toombs	pcnt_mammography	62.4
13281	Georgia	Towns	pcnt_mammography	70.0
13283	Georgia	Treutlen	pcnt_mammography	54.5
13285	Georgia	Troup	pcnt_mammography	61.8
13287	Georgia	Turner	pcnt_mammography	65.6
13289	Georgia	Twiggs	pcnt_mammography	58.6
13291	Georgia	Union	pcnt_mammography	67.5
13293	Georgia	Upson	pcnt_mammography	49.2
13295	Georgia	Walker	pcnt_mammography	58.4
13297	Georgia	Walton	pcnt_mammography	64.5
13299	Georgia	Ware	pcnt_mammography	62.0
13301	Georgia	Warren	pcnt_mammography	82.4
13303	Georgia	Washington	pcnt_mammography	69.2
13305	Georgia	Wayne	pcnt_mammography	54.7
13307	Georgia	Webster	pcnt_mammography	
13309	Georgia	Wheeler	pcnt_mammography	54.1
