FIPS	State	County	Variable	rec_facility_rate
5143	Arkansas	Washington	rec_facility_rate	11.3
5145	Arkansas	White	rec_facility_rate	6.5
5147	Arkansas	Woodruff	rec_facility_rate	0
5149	Arkansas	Yell	rec_facility_rate	0
6001	California	Alameda	rec_facility_rate	9.6
6003	California	Alpine	rec_facility_rate	0
6005	California	Amador	rec_facility_rate	10.5
6007	California	Butte	rec_facility_rate	9.1
6009	California	Calaveras	rec_facility_rate	13.2
6011	California	Colusa	rec_facility_rate	0
6013	California	Contra Costa	rec_facility_rate	11.1
6015	California	Del Norte	rec_facility_rate	3.5
6017	California	El Dorado	rec_facility_rate	9.9
6019	California	Fresno	rec_facility_rate	5
6021	California	Glenn	rec_facility_rate	3.6
6023	California	Humboldt	rec_facility_rate	7.4
6025	California	Imperial	rec_facility_rate	4
6027	California	Inyo	rec_facility_rate	21.6
6029	California	Kern	rec_facility_rate	4.6
6031	California	Kings	rec_facility_rate	6.5
6033	California	Lake	rec_facility_rate	6.2
6035	California	Lassen	rec_facility_rate	11.5
6037	California	Los Angeles	rec_facility_rate	7.3
6039	California	Madera	rec_facility_rate	5.9
6041	California	Marin	rec_facility_rate	22.9
6043	California	Mariposa	rec_facility_rate	16.4
6045	California	Mendocino	rec_facility_rate	17.1
6047	California	Merced	rec_facility_rate	6.6
6049	California	Modoc	rec_facility_rate	0
6051	California	Mono	rec_facility_rate	7
6053	California	Monterey	rec_facility_rate	5.8
6055	California	Napa	rec_facility_rate	13.2
6057	California	Nevada	rec_facility_rate	21.3
6059	California	Orange	rec_facility_rate	9.6
6061	California	Placer	rec_facility_rate	14.8
6063	California	Plumas	rec_facility_rate	20.1
6065	California	Riverside	rec_facility_rate	6.2
6067	California	Sacramento	rec_facility_rate	8.6
6069	California	San Benito	rec_facility_rate	9
6071	California	San Bernardino	rec_facility_rate	5.4
6073	California	San Diego	rec_facility_rate	10.2
6075	California	San Francisco	rec_facility_rate	13.3
6077	California	San Joaquin	rec_facility_rate	4.8
6079	California	San Luis Obispo	rec_facility_rate	14.8
6081	California	San Mateo	rec_facility_rate	14.2
6083	California	Santa Barbara	rec_facility_rate	12.7
6085	California	Santa Clara	rec_facility_rate	11
6087	California	Santa Cruz	rec_facility_rate	16
6089	California	Shasta	rec_facility_rate	7.9
6091	California	Sierra	rec_facility_rate	0
6093	California	Siskiyou	rec_facility_rate	8.9
6095	California	Solano	rec_facility_rate	8.2
6097	California	Sonoma	rec_facility_rate	11.8
6099	California	Stanislaus	rec_facility_rate	7.6
6101	California	Sutter	rec_facility_rate	9.5
6103	California	Tehama	rec_facility_rate	1.6
6105	California	Trinity	rec_facility_rate	21.8
6107	California	Tulare	rec_facility_rate	3.4
6109	California	Tuolumne	rec_facility_rate	12.7
6111	California	Ventura	rec_facility_rate	10.3
6113	California	Yolo	rec_facility_rate	7
6115	California	Yuba	rec_facility_rate	1.4
8001	Colorado	Adams	rec_facility_rate	4.5
8003	Colorado	Alamosa	rec_facility_rate	19.4
8005	Colorado	Arapahoe	rec_facility_rate	10.8
8007	Colorado	Archuleta	rec_facility_rate	16.6
8009	Colorado	Baca	rec_facility_rate	0
8011	Colorado	Bent	rec_facility_rate	0
8013	Colorado	Boulder	rec_facility_rate	18
8014	Colorado	Broomfield	rec_facility_rate	12.5
8015	Colorado	Chaffee	rec_facility_rate	22.5
8017	Colorado	Cheyenne	rec_facility_rate	0
8019	Colorado	Clear Creek	rec_facility_rate	11
8021	Colorado	Conejos	rec_facility_rate	0
8023	Colorado	Costilla	rec_facility_rate	0
