Latitude,Longitude,BactRelAbundance,FirmRelAbundance
48.7686,-122.486,0.2344,0.7174
40.0406,-105.208,0.5849,0.3602
39.9683,-75.175,0.3727,0.5965
42.6058,-71.5487,0.2222,0.6189
42.4168256,-71.1554293,0.237,0.1668
33.8304,-118.384,0.518,0.4002
40.7214251,-89.2728627,0.1617,0.3977
39.0534,-76.9758,0.1741,0.4541
47.66,-122.343,0.2286,0.725
41.0723,-73.8243,0.7438,0.2155
41.8925085,-87.6161696,0.5229,0.3304
40.0149856,-105.2705456,0.8549,0.1335
32.8113,-117.038,0.4782,0.485
38.4946,-90.4597,0.247,0.2658
37.7625,-121.981,0.452,0.4357
43.6414716,-70.2408811,0.5509,0.4058
41.2178,-122.226,0.1878,0.726
43.305811,-70.974265,0.5473,0.3801
46.977,-122.858,0.6257,0.3673
32.2342478,-111.0033984,0.2378,0.7441
36.2512,-81.6254,0.7437,0.2394
40.7465,-74.0094,0.3747,0.5526
32.8533,-96.8297,0.5893,0.3257
27.8916,-81.8006,0.3965,0.5797
40.8831011,-85.497476,0.2715,0.6331
30.2962,-97.739,0.2022,0.5608
47.6814875,-122.2087353,0.5379,0.4027
33.7724,-84.3279,0.2577,0.588
38.9784453,-76.4921829,0.3602,0.5294
40.021833,-75.315854,0.5434,0.3388
36.0256,-78.9854,0.2822,0.6918
33.8613433,-116.5727815,0.7476,0.2368
43.0457293,-87.997164,0.53,0.4281
30.2153869,-97.7960118,0.1002,0.8435
36.1286,-115.171,0.4754,0.5035
45.4856,-122.595,0.6884,0.2818
35.1894,-106.588,0.7342,0.1875
40.0149856,-105.2705456,0.5746,0.4027
42.3028239,-71.1864397,0.4711,0.398
39.7069307,-104.9564084,0.4064,0.5551
39.6167,-104.875,0.4894,0.4724
45.5594,-122.807,0.6228,0.3643
47.6701,-122.118,0.0066,0.906
38.5449065,-121.7405167,0.3373,0.5821
28.1446,-82.356,0.2851,0.648
43.1912,-89.1896,0.4607,0.4778
47.6084921,-122.336407,0.113,0.8682
35.1424,-85.2101,0.792,0.1813
33.0023708,-96.7679206,0.7277,0.2331
39.7317,-104.921,0.527,0.3436
32.7573,-97.1413,0.1909,0.798
45.4940477,-122.7323946,0.4325,0.5252
41.2646,-96.105,0.197,0.7403
39.2014404,-85.9213796,0.8507,0.1345
42.5514,-83.475,0.6202,0.3554
38.3517,-81.6336,0.2772,0.2548
42.3188,-122.075,0.6984,0.2439
38.2890465,-76.4215988,0.345,0.5823
32.749789,-117.1676501,0.3437,0.6216
40.6805029,-73.9624327,0.5288,0.3997
44.9895,-92.9705,0.6455,0.3196
37.4951,-107.811,0.4835,0.4266
44.8251,-93.3439,0.5651,0.3629
35.1323787,-90.004663,0.2738,0.6134
42.366667,-72.516667,0.0986,0.7839
34.1395597,-118.3870991,0.5169,0.462
30.3056,-97.7254,0.0908,0.8943
37.7877522,-122.4382307,0.2351,0.7273
42.4121,-73.6654,0.1614,0.7409
44.811349,-91.4984941,0.3066,0.0927
43.0661,-89.3322,0.1596,0.6905
41.9464,-87.7074,0.8743,0.1117
35.6808,-78.8099,0.0066,0.9604
42.3028239,-71.1864397,0.7287,0.1688
29.9654,-90.063,0.3985,0.5377
35.6982,-83.9533,0.6272,0.3474
37.802,-122.438,0.4288,0.4852
33.8363,-84.3857,0.2548,0.7316
37.3852183,-122.1141298,0.4067,0.2142
36.0643,-95.6668,0.2351,0.7106
45.6911,-110.944,0.6385,0.3428
37.4178,-122.124,0.2774,0.3133
37.7929789,-122.4212424,0.4893,0.4972
38.8845,-77.0939,0.5101,0.4164
40.7214251,-89.2728627,0.3713,0.5999
40.6986772,-73.9859414,0.4215,0.4965
37.3034,-122.231,0.5146,0.2849
44.0520691,-123.0867536,0.4243,0.5457
40.7933949,-77.8600012,0.3985,0.5316
44.6101,-72.7851,0.3466,0.3166
33.6332102,-117.7959713,0.4185,0.495
40.829706,-74.446397,0.8351,0.1589
37.7618,-122.399,0.3736,0.5944
30.3058,-97.8178,0.1489,0.2199
33.1932,-111.928,0.3186,0.6286
33.9150066,-118.4046264,0.2729,0.6839
32.84722,-117.27333,0.4138,0.5464
38.1525873,-107.7556162,0.5835,0.3616
42.4439614,-76.5018807,0.225,0.1715
39.3001,-76.6095,0.4625,0.4975
32.1922,-110.992,0.0175,0.5959
39.8163,-105.12,0.758,0.2194
45.0602,-93.1189,0.4946,0.4501
30.3058,-97.8178,0.0591,0.6626
33.8092255,-84.2805478,0.7621,0.2041
40.4586,-79.8185,0.509,0.4646
44.7893446,-93.6018389,0.4962,0.4896
39.1532,-94.9559,0.0604,0.8567
39.3005,-76.5691,0.1867,0.5556
30.2835,-97.7349,0.4006,0.5418
35.7698044,-78.7816219,0.2052,0.6929
45.7694254,-99.6195625,0.2894,0.3943
40.1733277,-105.1142011,0.4314,0.552
39.3005,-76.5691,0.133,0.71
35.244,-111.714,0.346,0.6254
40.7766412,-73.9521468,0.4416,0.5289
38.7244,-90.6678,0.3777,0.5637
39.0272,-92.3222,0.364,0.5576
35.7418,-78.7136,0.2612,0.7132
32.749789,-117.1676501,0.2111,0.7031
37.4136,-122.169,0.5696,0.4234
39.7927,-86.2616,0.6587,0.171
41.8396817,-71.3883751,0.5944,0.21
35.8533,-78.6966,0.3503,0.6292
28.319848,-80.729026,0.5957,0.3239
41.752238,-72.7629126,0.5813,0.3885
33.8092255,-84.2805478,0.5475,0.4178
34.0845,-118.545,0.658,0.2968
40.0149856,-105.2705456,0.8192,0.166
29.5335,-95.138,0.3453,0.4965
40.6642699,-73.7084645,0.4723,0.5038
34.2144,-114.263,0.5934,0.3656
36.0887,-79.0871,0.6162,0.2752
37.8983665,-122.2795667,0.5072,0.4673
42.6120387,-70.8803277,0.4509,0.5207
37.6818745,-121.7680088,0.3802,0.5938
40.4998,-124.265,0.5495,0.4385
34.4381407,-119.6151426,0.5743,0.4086
36.0256,-78.9854,0.0469,0.9268
40.799333,-74.414889,0.1868,0.7647
37.7401042,-122.4382307,0.1841,0.801
39.5505376,-107.3247762,0.0158,0.0348
39.4729,-87.396,0.4595,0.5125
43.5907814,-70.2295179,0.3441,0.5681
41.6306168,-70.3037053,0.8078,0.152
39.7317,-104.921,0.3772,0.5427
40.7832,-96.6371,0.7023,0.2536
40.1573169,-76.3069014,0.2586,0.6793
37.9599347,-122.5563645,0.4257,0.4288
42.9481,-88.2656,0.6111,0.3632
39.1184,-123.169,0.689,0.2892
47.66,-122.343,0.5135,0.3925
40.760743,-73.7977928,0.5392,0.3028
34.1161196,-118.1503488,0.446,0.4915
43.0592056,-89.4008958,0.5246,0.4016
40.1403357,-75.3995089,0.0836,0.8836
40.5860069,-73.9418603,0.5797,0.3823
30.4271,-97.8014,0.0094,0.9779
45.5908734,-122.6931698,0.0276,0.9476
45.4502,-122.885,0.271,0.5531
41.4769163,-81.5760945,0.506,0.4685
47.842,-122.288,0.4718,0.4748
40.7214251,-89.2728627,0.1937,0.7921
39.0063606,-94.7381013,0.4289,0.5377
39.9532,-75.175,0.8421,0.1511
30.6324149,-87.0396881,0.2994,0.6054
40.6648278,-73.9565551,0.434,0.5093
40.7661,-89.6722,0.6133,0.3397
32.8036,-117.25,0.3488,0.5364
25.76528,-80.1847167,0.5668,0.3847
30.6326942,-97.6772311,0.0916,0.0442
35.9208,-79.1323,0.4474,0.539
46.7312745,-117.1796158,0.3613,0.5969
40.0103247,-105.2889726,0.5736,0.3825
32.8538717,-96.8190224,0.42,0.5341
36.6465,-119.395,0.6693,0.2986
39.5350229,-105.1492869,0.6088,0.3846
45.5478224,-122.7288206,0.4797,0.5079
39.1184,-123.169,0.2348,0.7375
41.6285902,-70.3870055,0.3688,0.6247
40.8217,-96.6692,0.4244,0.4652
37.7561438,-122.4325682,0.5288,0.4167
47.6087583,-122.2964235,0.3488,0.5165
40.5293,-105.138,0.4497,0.4159
34.4381407,-119.6151426,0.2417,0.73
40.7214251,-89.2728627,0.2619,0.4123
47.7148,-122.203,0.5004,0.482
40.6805029,-73.9624327,0.436,0.4995
39.9608,-75.2333,0.5875,0.3567
36.1973,-85.4169,0.4856,0.4445
40.7267132,-73.2116584,0.8385,0.1163
38.5601,-122.016,0.3275,0.5864
37.7808,-122.282,0.4318,0.5293
42.6322463,-73.7654367,0.552,0.4395
42.1867052,-86.2605776,0.5443,0.4034
47.66,-122.343,0.2259,0.7439
40.9805,-72.2127,0.2191,0.5308
37.5841026,-122.3660825,0.3987,0.5239
40.7388,-73.9815,0.1709,0.7463
37.734646,-122.463708,0.3801,0.5897
30.432242,-97.7145152,0.3669,0.6137
45.5352835,-122.6037536,0.5737,0.4208
37.3986,-121.964,0.5103,0.3735
42.08725,-88.153035,0.6335,0.1545
39.9351,-75.1516,0.1021,0.6518
38.9036,-92.2433,0.1875,0.7106
40.1059,-88.212,0.7268,0.1305
40.4882728,-104.9973028,0.2051,0.7683
26.1076663,-80.2711588,0.217,0.639
32.8277,-96.6798,0.4964,0.4837
44.4812,-88.0167,0.4088,0.4999
42.0806,-87.732,0.4574,0.4868
